pressure1,pressure2,pressure3,stress1,stress2,stress3,stress4,stress5,stress6,stress7,x,y,z
0.00,0.00,0.00,10678,10131,9952,10080,10560,10414,10230,0.0,-364.0,0.0
0.00,0.00,0.00,10677,10130,9953,10081,10560,10414,10231,0.0,-364.0,1.0
0.00,0.00,0.00,10677,10131,9952,10080,10560,10415,10231,-1.0,-364.0,0.0
0.00,0.00,0.00,10677,10132,9952,10080,10560,10414,10230,-1.0,-363.0,0.0
0.00,0.00,0.00,10678,10132,9951,10080,10561,10414,10231,-1.0,-364.0,0.0
0.00,0.00,0.00,10677,10132,9952,10080,10560,10415,10231,-1.0,-364.0,0.0
0,0.00,,10678,10132,9952,10080,10560,10415,10231,0.0,-364.0,0.0
0.00,0.00,0.00,10677,10132,9952,10080,10561,10415,10230,-1.0,-364.0,0.0
0.00,0.00,0.00,10677,10131,9952,10080,10560,10414,10230,-1.0,-364.0,0.0
0.00,0.00,0.00,10677,10131,9952,10080,10560,10414,10230,0.0,-363.0,0.0
0.00,0.00,0.00,10677,10131,9951,10081,10560,10415,10231,-1.0,-364.0,0.0
0.00,0.00,0.00,10678,10130,9952,10081,10560,10415,10230,0.0,-364.0,0.0
0.00,0.00,0.00,10677,10130,9952,10080,10561,10414,10231,-1.0,-364.0,0.0
0.00,0.00,0.00,10678,10131,9952,10081,10560,10415,10231,-1.0,-363.0,0.0
0.00,0.00,0.00,10678,10131,9951,10080,10560,10415,10231,0.0,-363.0,0.0
-0.04,0.00,-0.04,10677,10131,9950,10081,10560,10415,10231,-1.0,-364.0,0.0
-0.05,0.04,-0.00,10677,10132,9953,10081,10560,10415,10231,0.0,-363.0,0.0
-0.05,0.05,-0.00,10676,10131,9952,10080,10560,10415,10230,-1.0,-364.0,0.0
-0.05,0.00,-0.00,10677,10132,9952,10081,10560,10415,10231,-1.0,-364.0,0.0
-0.05,0.05,0.00,10677,10131,9952,10081,10560,10414,10231,-1.0,-364.0,0.0
-0.05,0.00,0.00,10677,10132,9952,10080,10561,10415,10231,-1.0,-364.0,0.0
-0.00,0.04,0.00,10676,10131,9952,10080,10561,10415,10230,-1.0,-364.0,0.0
-0.04,0.00,0.00,10677,10131,9951,10080,10561,10413,10231,0.0,-363.0,0.0
-0.00,0.00,0.00,10677,10131,9951,10081,10560,10414,10230,0.0,-363.0,0.0
0.09,0.00,-0.04,10677,10131,9953,10080,10560,10415,10231,-1.0,-363.0,0.0
-0.04,-0.04,-0.00,10678,10131,9952,10080,10560,10414,10231,-1.0,-364.0,0.0
-0.00,-0.00,-0.00,10677,10131,9952,10080,10560,10414,10232,-1.0,-364.0,0.0
-0.04,-0.04,-0.00,10677,10131,9952,10081,10560,10414,10231,0.0,-363.0,0.0
-0.09,-0.00,-0.04,10677,10131,9952,10080,10561,10414,10231,-1.0,-363.0,0.0
-0.05,0.04,-0.00,10677,10130,9952,10081,10560,10415,10231,0.0,-363.0,0.0
-0.05,0.00,-0.00,10678,10131,9952,10081,10560,10414,10231,-1.0,-364.0,0.0
-0.05,0.04,-0.00,10677,10132,9953,10081,10560,10414,10231,0.0,-363.0,0.0
-0.05,0.00,-0.00,10677,10132,9953,10081,10560,10414,10231,-1.0,-363.0,0.0
-0.05,0.09,-0.00,10677,10131,9952,10081,10560,10414,10231,0.0,-363.0,0.0
-0.05,0.05,-0.00,10677,10132,9952,10080,10560,10414,10231,-1.0,-364.0,0.0
-0.00,0.01,-0.00,10677,10131,9952,10082,10560,10414,10231,-1.0,-364.0,0.0
-0.04,0.00,0.04,10678,10132,9953,10081,10560,10414,10231,-1.0,-364.0,0.0
0.04,0.09,0.00,10678,10131,9952,10079,10560,10415,10230,0.0,-363.0,0.0
0.00,0.01,0.00,10677,10131,9952,10080,10560,10414,10231,0.0,-363.0,0.0
0.00,-0.04,0.04,10678,10130,9952,10081,10560,10414,10231,-1.0,-364.0,0.0
0.00,0.04,0.05,10678,10130,9952,10081,10560,10414,10231,0.0,-363.0,0.0
-0.04,-0.04,0.00,10678,10130,9952,10080,10560,10415,10231,0.0,-363.0,0.0
-0.00,-0.05,0.00,10678,10131,9951,10081,10560,10414,10231,0.0,-363.0,0.0
-0.00,-0.05,-0.04,10677,10131,9952,10080,10560,10415,10230,0.0,-363.0,0.0
0.09,-0.00,-0.05,10678,10131,9952,10081,10560,10414,10230,0.0,-363.0,0.0
0.10,0.04,-0.00,10678,10131,9951,10081,10560,10414,10231,0.0,-363.0,0.0
0.10,0.05,-0.00,10677,10131,9953,10081,10560,10414,10230,0.0,-363.0,0.0
0.19,0.05,-0.04,10678,10132,9953,10080,10560,10415,10231,0.0,-363.0,0.0
0.20,-0.04,-0.00,10678,10131,9952,10081,10560,10415,10231,-1.0,-363.0,0.0
0.29,-0.00,0.04,10677,10131,9952,10080,10560,10414,10231,-1.0,-363.0,0.0
0.47,0.04,0.00,10677,10131,9952,10080,10560,10414,10230,-1.0,-364.0,0.0
0.67,0.05,0.04,10677,10131,9952,10081,10560,10414,10230,-1.0,-363.0,0.0
0.82,0.05,0.00,10678,10131,9952,10080,10560,10413,10230,-1.0,-364.0,0.0
0.83,0.00,0.00,10678,10131,9950,10080,10561,10414,10230,-1.0,-364.0,1.0
0.88,-0.04,0.09,10677,10132,9952,10080,10560,10415,10230,-1.0,-363.0,0.0
0.97,0.04,0.01,10678,10131,9952,10081,10560,10415,10230,-1.0,-364.0,1.0
1.07,0.05,0.05,10678,10131,9951,10081,10560,10415,10231,-1.0,-363.0,1.0
1.17,0.05,0.00,10678,10131,9953,10080,10560,10415,10230,-1.0,-363.0,1.0
1.27,0.05,0.04,10678,10132,9952,10080,10561,10412,10230,-1.0,-364.0,1.0
1.37,0.00,0.05,10677,10131,9951,10080,10559,10415,10229,-1.0,-364.0,1.0
1.42,0.00,0.05,10678,10131,9951,10080,10560,10414,10230,0.0,-363.0,1.0
1.48,-0.04,0.05,10678,10131,9952,10080,10560,10415,10230,-1.0,-363.0,1.0
1.56,0.04,0.05,10677,10132,9950,10080,10560,10414,10229,1.0,-364.0,1.0
1.66,0.05,0.05,10677,10131,9952,10080,10559,10414,10229,0.0,-364.0,2.0
1.76,0.05,0.05,10677,10131,9951,10081,10560,10415,10229,0.0,-364.0,1.0
1.86,0.05,0.05,10677,10131,9951,10080,10560,10414,10230,0.0,-364.0,2.0
1.96,0.05,0.05,10677,10131,9952,10080,10561,10414,10229,0.0,-364.0,2.0
2.05,0.00,0.05,10677,10131,9950,10080,10560,10415,10229,0.0,-364.0,2.0
2.11,0.04,0.09,10677,10131,9951,10080,10560,10414,10228,0.0,-364.0,2.0
2.20,0.05,0.05,10678,10133,9950,10079,10560,10415,10228,0.0,-363.0,2.0
2.26,0.05,0.05,10677,10133,9951,10080,10560,10414,10227,1.0,-364.0,2.0
2.35,0.05,0.05,10677,10131,9951,10079,10560,10414,10227,1.0,-363.0,2.0
2.31,0.14,0.05,10677,10132,9951,10080,10560,10414,10228,1.0,-363.0,2.0
2.31,0.10,0.09,10677,10131,9952,10080,10560,10414,10227,1.0,-364.0,3.0
2.31,-0.03,0.05,10676,10131,9951,10080,10559,10414,10227,1.0,-364.0,3.0
2.35,0.04,0.09,10677,10131,9951,10080,10560,10414,10226,2.0,-363.0,3.0
2.23,0.00,0.05,10677,10131,9951,10080,10560,10414,10226,2.0,-364.0,3.0
2.30,0.04,0.05,10677,10131,9950,10080,10560,10414,10226,3.0,-363.0,3.0
2.18,0.05,0.00,10677,10131,9951,10080,10560,10414,10226,3.0,-363.0,3.0
2.25,0.14,0.04,10676,10131,9951,10080,10560,10414,10227,3.0,-363.0,3.0
2.26,0.01,0.05,10678,10131,9952,10080,10560,10414,10226,2.0,-364.0,3.0
2.30,0.10,0.04,10677,10131,9952,10080,10560,10414,10226,3.0,-363.0,3.0
2.22,0.05,0.05,10677,10131,9951,10080,10560,10415,10226,3.0,-363.0,3.0
2.21,0.05,0.05,10677,10132,9951,10080,10560,10414,10225,2.0,-364.0,3.0
2.21,0.09,0.05,10678,10131,9951,10080,10560,10414,10226,2.0,-364.0,3.0
2.12,0.01,0.05,10677,10132,9950,10080,10559,10414,10226,2.0,-364.0,4.0
2.11,0.09,0.09,10677,10132,9951,10080,10560,10413,10225,2.0,-364.0,3.0
2.11,0.05,0.05,10677,10133,9950,10081,10560,10414,10225,2.0,-364.0,3.0
2.07,0.05,0.05,10677,10131,9950,10079,10560,10414,10226,3.0,-363.0,4.0
2.07,0.05,0.05,10677,10131,9951,10079,10559,10415,10225,2.0,-364.0,4.0
2.11,0.05,0.05,10676,10131,9949,10080,10560,10414,10226,2.0,-364.0,4.0
2.02,0.05,0.05,10678,10132,9950,10080,10560,10415,10226,2.0,-363.0,4.0
2.02,0.05,0.18,10677,10132,9951,10080,10560,10414,10226,2.0,-363.0,3.0
1.97,0.05,0.15,10677,10131,9951,10080,10560,10414,10226,2.0,-364.0,4.0
1.97,0.05,0.10,10677,10131,9950,10079,10560,10414,10226,2.0,-364.0,3.0
1.97,0.09,0.05,10677,10132,9949,10081,10560,10414,10225,3.0,-363.0,3.0
1.83,0.10,0.09,10677,10132,9949,10080,10560,10415,10226,2.0,-364.0,4.0
1.60,0.10,0.05,10677,10131,9950,10080,10560,10415,10226,3.0,-363.0,4.0
1.49,0.10,0.05,10678,10131,9951,10080,10559,10414,10226,2.0,-364.0,4.0
1.34,0.05,0.09,10677,10132,9949,10080,10560,10414,10226,2.0,-364.0,4.0
1.15,0.05,0.19,10677,10131,9950,10080,10560,10414,10226,3.0,-364.0,4.0
0.98,0.00,0.05,10677,10132,9950,10080,10560,10414,10226,2.0,-364.0,3.0
1.03,0.04,0.01,10677,10132,9951,10080,10560,10414,10226,2.0,-364.0,3.0
1.08,0.05,0.04,10677,10132,9950,10080,10560,10414,10226,3.0,-364.0,3.0
1.13,0.05,0.05,10678,10131,9950,10080,10560,10415,10227,1.0,-364.0,3.0
1.09,0.05,0.05,10677,10131,9950,10080,10560,10414,10227,3.0,-363.0,3.0
1.13,0.05,0.09,10677,10131,9952,10080,10560,10414,10227,2.0,-363.0,3.0
1.13,0.00,0.05,10677,10132,9950,10080,10560,10414,10227,2.0,-363.0,3.0
1.17,0.04,0.05,10677,10131,9951,10080,10560,10414,10228,1.0,-364.0,3.0
1.18,0.00,0.00,10676,10132,9950,10080,10560,10414,10227,2.0,-363.0,3.0
1.22,0.04,0.04,10677,10133,9950,10080,10560,10415,10227,2.0,-363.0,3.0
1.23,0.05,0.05,10677,10132,9951,10080,10560,10414,10227,1.0,-363.0,3.0
1.23,0.05,0.05,10677,10131,9950,10080,10560,10414,10228,2.0,-363.0,3.0
1.23,0.05,0.05,10677,10131,9951,10081,10560,10414,10228,1.0,-363.0,2.0
1.32,0.05,0.05,10678,10131,9951,10080,10560,10414,10227,2.0,-363.0,2.0
1.37,0.05,0.00,10677,10131,9951,10080,10560,10414,10228,2.0,-363.0,2.0
1.33,0.05,0.04,10677,10132,9950,10080,10560,10413,10227,2.0,-363.0,3.0
1.50,0.05,0.05,10677,10131,9950,10080,10560,10414,10228,2.0,-363.0,3.0
1.52,0.05,0.05,10677,10131,9950,10080,10560,10414,10227,2.0,-363.0,3.0
1.61,0.05,0.00,10677,10132,9951,10080,10560,10415,10228,1.0,-364.0,2.0
1.84,0.05,0.09,10677,10132,9951,10081,10560,10414,10227,1.0,-363.0,2.0
1.96,0.04,0.04,10678,10131,9951,10080,10560,10414,10227,2.0,-363.0,3.0
2.14,0.00,0.00,10677,10132,9951,10080,10560,10414,10227,1.0,-363.0,3.0
2.29,0.04,0.09,10678,10132,9951,10080,10560,10414,10227,2.0,-363.0,3.0
2.53,0.09,0.05,10677,10131,9951,10080,10560,10414,10227,1.0,-363.0,4.0
2.64,0.05,0.05,10677,10131,9952,10080,10559,10414,10227,2.0,-363.0,3.0
2.83,0.05,0.09,10677,10131,9951,10080,10560,10415,10226,2.0,-363.0,3.0
3.03,0.05,0.10,10678,10132,9951,10080,10560,10414,10226,2.0,-363.0,3.0
3.09,0.05,0.05,10678,10132,9950,10080,10560,10415,10226,3.0,-363.0,4.0
3.23,0.00,0.05,10677,10131,9950,10079,10560,10414,10225,3.0,-363.0,4.0
3.33,0.04,0.05,10677,10132,9950,10080,10559,10414,10225,2.0,-363.0,4.0
3.47,0.05,0.05,10677,10132,9951,10079,10560,10414,10225,2.0,-363.0,4.0
3.62,0.09,0.05,10677,10132,9951,10080,10560,10414,10224,3.0,-363.0,4.0
3.64,0.10,0.05,10677,10132,9950,10079,10560,10414,10224,4.0,-363.0,4.0
3.73,0.10,0.05,10677,10132,9951,10080,10560,10413,10224,4.0,-363.0,5.0
3.91,0.14,0.05,10677,10132,9950,10079,10560,10414,10223,4.0,-363.0,5.0
4.02,0.10,0.09,10677,10133,9950,10079,10560,10414,10223,3.0,-363.0,5.0
4.12,0.05,0.05,10677,10131,9949,10080,10560,10414,10223,4.0,-363.0,5.0
4.31,0.09,0.01,10677,10132,9950,10079,10560,10414,10222,5.0,-363.0,5.0
4.32,0.10,0.04,10677,10131,9950,10079,10559,10414,10223,5.0,-363.0,5.0
4.41,0.10,0.05,10677,10132,9950,10079,10560,10413,10222,5.0,-363.0,7.0
4.56,0.10,0.05,10675,10132,9949,10079,10560,10414,10221,4.0,-363.0,6.0
4.57,0.05,0.05,10677,10132,9950,10079,10559,10414,10221,5.0,-363.0,6.0
4.79,0.09,0.05,10677,10132,9950,10079,10560,10414,10221,5.0,-363.0,6.0
4.82,0.10,0.05,10676,10132,9949,10079,10559,10414,10222,6.0,-363.0,6.0
4.99,0.10,0.05,10677,10132,9949,10079,10560,10414,10221,6.0,-363.0,6.0
5.10,0.10,0.05,10677,10132,9950,10079,10559,10414,10220,6.0,-363.0,6.0
5.20,0.10,0.09,10677,10132,9949,10080,10559,10414,10220,6.0,-363.0,7.0
5.25,0.10,0.10,10677,10132,9948,10079,10559,10414,10220,6.0,-363.0,7.0
5.35,0.10,0.10,10677,10132,9947,10079,10559,10413,10220,7.0,-363.0,7.0
5.36,0.14,0.10,10677,10131,9950,10078,10559,10413,10218,7.0,-363.0,7.0
5.45,0.15,0.10,10677,10132,9949,10079,10559,10414,10219,6.0,-363.0,7.0
5.59,0.15,0.10,10677,10132,9949,10078,10559,10414,10219,7.0,-363.0,7.0
5.60,0.10,0.10,10677,10132,9949,10078,10559,10414,10218,8.0,-363.0,7.0
5.60,0.14,0.14,10677,10133,9949,10079,10559,10415,10218,8.0,-363.0,8.0
5.43,0.10,0.15,10677,10132,9949,10078,10560,10414,10219,8.0,-363.0,8.0
5.45,0.10,0.10,10677,10132,9949,10078,10559,10413,10218,8.0,-363.0,8.0
5.41,0.10,0.10,10677,10132,9948,10077,10559,10413,10217,7.0,-363.0,8.0
5.36,0.10,0.28,10677,10131,9949,10078,10559,10413,10217,8.0,-363.0,8.0
5.36,0.10,0.07,10676,10132,9949,10079,10559,10413,10218,8.0,-363.0,8.0
