pressure1,pressure2,pressure3,stress1,stress2,stress3,stress4,stress5,stress6,stress7,x,y,z
,0.00,0.00,9714,10230,10048,10267,10688,10601,10365,0.0,-368.0,0.0
05,0.00,-0.00,9713,10231,10047,10266,10688,10600,10366,0.0,-368.0,0.0
-0.05,0.00,-0.00,9714,10231,10048,10267,10688,10602,10366,0.0,-368.0,-1.0
-0.05,0.00,-0.00,9713,10230,10047,10267,10689,10601,10366,0.0,-368.0,-1.0
-0.05,0.00,-0.00,9714,10231,10047,10267,10687,10601,10365,0.0,-368.0,-1.0
-0.05,0.00,-0.00,9715,10231,10048,10267,10688,10601,10366,0.0,-368.0,-1.0
-0.05,0.00,0.04,9715,10231,10048,10267,10688,10601,10366,0.0,-368.0,-1.0
-0.05,0.00,0.00,9713,10230,10048,10267,10689,10601,10365,0.0,-368.0,-1.0
-0.04,0.00,-0.04,9713,10230,10048,10267,10688,10602,10366,0.0,-368.0,-1.0
-0.09,0.04,-0.05,9713,10231,10048,10267,10687,10602,10365,0.0,-368.0,-1.0
-0.01,0.00,-0.05,9713,10230,10048,10267,10688,10601,10365,0.0,-368.0,-1.0
-0.05,0.00,-0.05,9714,10230,10048,10267,10689,10601,10365,0.0,-368.0,-1.0
-0.05,0.00,-0.04,9713,10231,10049,10268,10688,10601,10366,0.0,-368.0,-1.0
-0.05,0.00,-0.05,9713,10230,10048,10267,10689,10600,10365,0.0,-368.0,-1.0
-0.05,0.00,0.04,9714,10230,10047,10267,10688,10601,10366,0.0,-368.0,-1.0
-0.05,0.00,0.00,9714,10230,10047,10267,10688,10601,10366,0.0,-368.0,-1.0
-0.05,0.00,0.04,9713,10230,10049,10267,10688,10601,10366,0.0,-368.0,-1.0
-0.00,0.04,0.14,9716,10231,10047,10267,10688,10602,10366,0.0,-368.0,-1.0
-0.04,0.00,0.19,9714,10231,10048,10267,10688,10600,10365,0.0,-368.0,-1.0
-0.05,0.00,0.24,9713,10230,10048,10267,10689,10601,10365,0.0,-368.0,-1.0
-0.05,0.00,0.33,9713,10231,10048,10266,10688,10601,10365,0.0,-368.0,-1.0
-0.00,0.00,0.44,9714,10230,10049,10267,10689,10601,10365,0.0,-368.0,-1.0
-0.04,0.00,0.54,9713,10231,10047,10267,10688,10601,10365,0.0,-368.0,-1.0
-0.00,0.04,0.63,9714,10231,10048,10267,10688,10601,10365,0.0,-368.0,-1.0
-0.04,0.05,0.77,9713,10231,10047,10267,10689,10601,10366,-1.0,-368.0,-1.0
-0.00,0.00,0.96,9712,10230,10049,10266,10688,10601,10365,0.0,-368.0,-1.0
-0.00,0.00,1.20,9713,10231,10048,10266,10688,10601,10365,0.0,-368.0,0.0
-0.04,0.00,1.45,9713,10231,10048,10266,10688,10600,10365,-1.0,-368.0,0.0
-0.05,0.04,1.74,9714,10230,10048,10266,10688,10601,10365,-1.0,-368.0,-1.0
-0.00,0.05,1.99,9713,10230,10048,10266,10688,10601,10365,-1.0,-368.0,0.0
-0.00,0.00,2.28,9712,10231,10047,10266,10686,10601,10365,-1.0,-368.0,0.0
0.04,0.05,2.55,9714,10230,10048,10266,10687,10601,10364,-1.0,-368.0,0.0
0.05,0.00,2.80,9714,10229,10047,10265,10687,10601,10364,-1.0,-368.0,0.0
0.09,0.00,2.98,9714,10230,10048,10265,10687,10601,10364,-1.0,-368.0,0.0
0.14,0.04,3.22,9714,10230,10048,10264,10687,10600,10364,-1.0,-368.0,0.0
0.15,0.05,3.42,9712,10230,10048,10265,10686,10601,10363,-2.0,-368.0,0.0
0.15,0.09,3.62,9714,10230,10048,10263,10686,10602,10362,-2.0,-368.0,1.0
0.24,0.10,3.86,9714,10229,10048,10263,10686,10602,10363,-3.0,-368.0,0.0
0.24,0.10,4.06,9714,10230,10048,10263,10686,10601,10362,-3.0,-368.0,1.0
0.25,0.10,4.21,9714,10230,10048,10262,10687,10602,10362,-3.0,-368.0,1.0
0.25,0.10,4.27,9714,10229,10048,10262,10687,10600,10362,-3.0,-368.0,1.0
0.25,0.05,4.37,9713,10229,10049,10262,10687,10602,10362,-4.0,-368.0,2.0
0.34,0.05,4.57,9714,10229,10048,10261,10686,10601,10360,-4.0,-368.0,2.0
0.30,0.09,4.53,9713,10230,10048,10260,10686,10601,10361,-5.0,-368.0,2.0
0.38,0.14,4.39,9713,10228,10049,10260,10686,10602,10359,-5.0,-368.0,2.0
0.53,0.10,4.33,9713,10229,10048,10261,10686,10601,10360,-5.0,-368.0,2.0
0.58,0.10,4.28,9712,10228,10047,10260,10686,10601,10360,-5.0,-368.0,2.0
0.63,0.10,4.23,9714,10229,10048,10260,10686,10601,10360,-5.0,-368.0,3.0
0.64,0.10,4.23,9713,10228,10047,10260,10686,10602,10359,-6.0,-368.0,3.0
0.73,0.10,4.14,9713,10228,10048,10259,10686,10602,10359,-6.0,-368.0,3.0
0.78,0.10,4.13,9714,10229,10048,10260,10687,10601,10358,-6.0,-368.0,3.0
0.78,0.14,4.08,9713,10229,10048,10260,10685,10601,10359,-7.0,-368.0,3.0
0.83,0.10,4.08,9714,10228,10048,10259,10686,10601,10359,-5.0,-368.0,4.0
0.88,0.14,4.04,9713,10228,10048,10258,10685,10601,10359,-6.0,-368.0,4.0
0.88,0.10,4.08,9713,10228,10048,10258,10686,10601,10359,-7.0,-368.0,4.0
0.97,0.14,4.04,9713,10228,10048,10259,10686,10601,10358,-7.0,-368.0,4.0
1.03,0.15,4.08,9714,10229,10047,10259,10685,10601,10358,-7.0,-368.0,4.0
1.21,0.15,4.08,9713,10228,10048,10258,10685,10601,10358,-7.0,-368.0,4.0
1.36,0.10,4.08,9713,10228,10048,10258,10686,10601,10358,-6.0,-368.0,4.0
1.55,0.10,4.08,9713,10229,10047,10258,10685,10601,10358,-7.0,-368.0,4.0
1.70,0.14,4.12,9714,10228,10048,10258,10686,10600,10357,-7.0,-368.0,4.0
1.91,0.19,4.18,9713,10228,10048,10258,10686,10600,10357,-7.0,-368.0,4.0
2.06,0.10,4.23,9713,10227,10048,10257,10685,10601,10357,-7.0,-368.0,4.0
2.20,0.14,4.23,9714,10228,10048,10258,10685,10600,10357,-7.0,-368.0,5.0
2.39,0.19,4.23,9712,10228,10047,10257,10686,10600,10356,-6.0,-368.0,5.0
2.50,0.20,4.23,9714,10228,10047,10256,10686,10601,10356,-7.0,-368.0,5.0
2.55,0.15,4.27,9713,10228,10047,10256,10686,10601,10355,-7.0,-368.0,5.0
2.69,0.15,4.28,9713,10228,10047,10256,10686,10600,10355,-6.0,-368.0,5.0
2.75,0.19,4.28,9713,10228,10047,10256,10685,10601,10355,-6.0,-368.0,6.0
2.84,0.15,4.28,9712,10228,10046,10256,10685,10601,10355,-6.0,-368.0,6.0
2.94,0.19,4.32,9713,10228,10047,10255,10685,10600,10355,-6.0,-369.0,6.0
3.10,0.20,4.33,9713,10227,10047,10255,10685,10601,10354,-5.0,-368.0,6.0
3.20,0.20,4.33,9712,10228,10047,10255,10685,10600,10354,-6.0,-368.0,6.0
