pressure1,pressure2,pressure3,stress1,stress2,stress3,stress4,stress5,stress6,stress7,x,y,z
0,0,0,0,0,0,0,0,0,0,0,-366,0
-0.05,0.04,0.04,0,0,0,0,0,0,0,1,-366,0
-0.05,0.05,0.05,0,0,0,0,0,0,0,1,-366,0
-0.05,0,0,0,0,0,0,0,0,0,1,-366,0
-0.05,0,0.04,0,0,0,0,0,0,0,1,-366,0
0,0,0.05,0,0,0,0,0,0,0,1,-367,0
-0.05,-0.04,0.05,0,0,0,0,0,0,0,1,-366,0
-0.05,0,0,0,0,0,0,0,0,0,2,-366,0
-0.05,0.04,0.04,0,0,0,0,0,0,0,2,-366,0
-0.09,-0.09,-0.04,0,0,0,0,0,0,0,2,-366,0
-0.1,-0.01,-0.05,0,0,0,0,0,0,0,2,-366,0
-0.1,-0.05,0,0,0,0,0,0,0,0,2,-366,0
-0.05,-0.05,0,0,0,0,0,0,0,0,1,-366,0
-0.09,-0.05,0,0,0,0,0,0,0,0,2,-366,0
-0.05,-0.05,0.04,0,0,0,0,0,0,0,2,-366,-1
-0.09,-0.05,0.05,0,0,0,0,0,0,0,2,-366,0
-0.05,-0.05,0.14,0,0,0,0,0,0,0,2,-366,0
-0.05,-0.05,0.28,0,0,0,0,0,0,0,2,-366,0
-0.05,-0.09,0.38,0,0,0,0,0,0,0,2,-366,0
0,-0.05,0.48,0,0,0,0,0,0,0,2,-366,0
-0.04,-0.05,0.67,0,0,0,0,0,0,0,2,-366,0
0,0,0.93,0,0,0,0,0,0,0,2,-366,0
-0.05,0,1.18,0,0,0,0,0,0,0,1,-366,0
-0.05,-0.04,1.45,0,0,0,0,0,0,0,2,-366,0
0,-0.05,1.74,0,0,0,0,0,0,0,2,-366,0
-0.04,-0.05,2.03,0,0,0,0,0,0,0,2,-366,0
0,-0.05,2.24,0,0,0,0,0,0,0,1,-366,1
0,-0.05,2.48,0,0,0,0,0,0,0,1,-366,1
-0.04,-0.05,2.77,0,0,0,0,0,0,0,1,-366,0
-0.05,-0.05,3.06,0,0,0,0,0,0,0,1,-366,0
0,0,3.27,0,0,0,0,0,0,0,1,-366,0
0.04,-0.04,3.63,0,0,0,0,0,0,0,0,-366,0
0.04,0,3.88,0,0,0,0,0,0,0,0,-366,1
0,0,4.06,0,0,0,0,0,0,0,0,-366,1
0.04,0,4.26,0,0,0,0,0,0,0,0,-366,1
0.05,0.04,4.45,0,0,0,0,0,0,0,-1,-366,1
0.09,0,4.65,0,0,0,0,0,0,0,-1,-366,1
0.14,0,4.8,0,0,0,0,0,0,0,-1,-366,1
0.15,0.04,5.04,0,0,0,0,0,0,0,-1,-366,2
0.19,0,5.24,0,0,0,0,0,0,0,-2,-366,2
0.15,0.04,5.39,0,0,0,0,0,0,0,-2,-366,2
0.2,0.05,5.6,0,0,0,0,0,0,0,-3,-366,3
0.29,0.05,5.85,0,0,0,0,0,0,0,-3,-366,2
0.34,0.05,6.03,0,0,0,0,0,0,0,-3,-366,3
0.34,0.05,6.27,0,0,0,0,0,0,0,-4,-366,3
0.39,0.05,6.56,0,0,0,0,0,0,0,-4,-366,3
0.44,0.05,6.81,0,0,0,0,0,0,0,-4,-366,3
0.49,0.09,7.05,0,0,0,0,0,0,0,-5,-366,3
0.54,0.1,7.25,0,0,0,0,0,0,0,-5,-366,4
0.63,0.1,7.58,0,0,0,0,0,0,0,-5,-366,4
0.73,0.1,7.79,0,0,0,0,0,0,0,-6,-366,4
0.88,0.09,8.01,0,0,0,0,0,0,0,-6,-366,4
1.08,0.14,7.87,0,0,0,0,0,0,0,-8,-366,5
1.26,0.1,7.78,0,0,0,0,0,0,0,-7,-366,5
1.5,0.14,7.64,0,0,0,0,0,0,0,-8,-366,5
1.65,0.15,7.53,0,0,0,0,0,0,0,-8,-366,6
1.8,0.1,7.48,0,0,0,0,0,0,0,-8,-366,6
1.86,0.14,7.38,0,0,0,0,0,0,0,-9,-366,6
1.96,0.15,7.38,0,0,0,0,0,0,0,-9,-366,6
2.1,0.15,7.33,0,0,0,0,0,0,0,-9,-366,7
2.25,0.1,7.33,0,0,0,0,0,0,0,-9,-366,7
2.4,0.15,7.33,0,0,0,0,0,0,0,-9,-366,7
2.51,0.14,7.37,0,0,0,0,0,0,0,-9,-366,7
2.64,0.15,7.37,0,0,0,0,0,0,0,-9,-366,9
2.74,0.15,7.46,0,0,0,0,0,0,0,-9,-366,8
2.8,0.15,7.47,0,0,0,0,0,0,0,-9,-366,8
2.89,0.19,7.47,0,0,0,0,0,0,0,-9,-366,8
2.94,0.2,7.52,0,0,0,0,0,0,0,-9,-366,9
2.99,0.2,7.48,0,0,0,0,0,0,0,-9,-366,9
3,0.15,7.52,0,0,0,0,0,0,0,-9,-366,9
3,0.19,7.52,0,0,0,0,0,0,0,-9,-366,9
2.95,0.2,7.52,0,0,0,0,0,0,0,-9,-366,10
2.94,0.15,7.52,0,0,0,0,0,0,0,-9,-366,10
2.9,0.15,7.57,0,0,0,0,0,0,0,-10,-366,10
2.9,0.19,7.61,0,0,0,0,0,0,0,-9,-366,10
2.9,0.2,7.62,0,0,0,0,0,0,0,-10,-366,10
2.94,0.2,7.66,0,0,0,0,0,0,0,-9,-366,10
2.9,0.2,7.62,0,0,0,0,0,0,0,-11,-366,11
2.95,0.24,7.62,0,0,0,0,0,0,0,-10,-366,11
2.99,0.2,7.62,0,0,0,0,0,0,0,-10,-366,11
2.95,0.2,7.66,0,0,0,0,0,0,0,-10,-366,11
3.05,0.24,7.67,0,0,0,0,0,0,0,-10,-366,11
3.05,0.2,7.72,0,0,0,0,0,0,0,-10,-366,12
3.05,0.24,7.72,0,0,0,0,0,0,0,-10,-366,11
3.09,0.2,7.72,0,0,0,0,0,0,0,-10,-366,11
3.19,0.24,7.72,0,0,0,0,0,0,0,-10,-366,12
3.24,0.25,7.76,0,0,0,0,0,0,0,-10,-366,12
3.24,0.2,7.81,0,0,0,0,0,0,0,-10,-366,12
3.29,0.24,7.86,0,0,0,0,0,0,0,-10,-366,12
3.29,0.25,7.91,0,0,0,0,0,0,0,-10,-366,12
3.34,0.25,7.91,0,0,0,0,0,0,0,-10,-366,12
3.39,0.24,7.97,0,0,0,0,0,0,0,-10,-366,12
3.49,0.25,7.96,0,0,0,0,0,0,0,-10,-366,14
3.58,0.25,7.92,0,0,0,0,0,0,0,-10,-366,13
3.63,0.25,7.92,0,0,0,0,0,0,0,-10,-366,13
3.73,0.29,7.96,0,0,0,0,0,0,0,-11,-366,13
3.78,0.25,7.88,0,0,0,0,0,0,0,-10,-366,13
