pressure1,pressure2,pressure3,stress1,stress2,stress3,stress4,stress5,stress6,stress7,x,y,z
-0.04,0,0.04,10700,10151,9980,10097,10627,10493,10282,0,-346,0
0,0,0,10699,10151,9980,10097,10628,10494,10282,0,-346,0
0,0,0,10699,10151,9981,10097,10627,10493,10282,0,-346,0
0,0,0,10699,10151,9980,10098,10626,10493,10281,0,-346,0
0,0,0,10700,10151,9980,10097,10628,10493,10282,0,-347,0
-0.04,0,0,10699,10152,9980,10096,10627,10492,10282,0,-346,0
0,0,0,10700,10152,9981,10097,10627,10493,10282,0,-347,0
-0.04,0,0.04,10700,10151,9980,10097,10627,10493,10281,1,-347,0
0,0,0,10700,10151,9980,10097,10627,10493,10281,0,-347,0
0.05,0,0,10700,10151,9981,10098,10627,10492,10282,0,-346,0
0,0,0,10698,10151,9978,10097,10628,10492,10283,1,-347,0
0.04,0,0,10699,10151,9981,10098,10627,10493,10282,0,-346,0
0,0,0,10697,10151,9980,10097,10627,10493,10282,0,-346,0
0.04,0,0,10700,10150,9982,10097,10628,10493,10281,0,-347,0
0.05,0,0,10699,10151,9981,10097,10627,10493,10283,0,-347,0
0.05,0,0,10699,10150,9980,10097,10627,10493,10282,0,-346,0
0,0,-0.04,10699,10151,9980,10097,10627,10492,10281,0,-347,-1
0.04,0,0,10699,10151,9981,10098,10627,10493,10282,0,-347,0
0,0,-0.04,10699,10152,9982,10097,10628,10493,10281,0,-346,0
0.09,0,-0.04,10699,10151,9980,10097,10627,10493,10282,0,-347,0
0.01,0,0,10698,10151,9981,10098,10627,10493,10281,0,-347,0
0.05,0,-0.04,10699,10151,9979,10097,10628,10493,10282,0,-347,0
0.05,0,-0.05,10699,10150,9981,10098,10628,10493,10282,0,-346,0
0.09,0,0,10699,10150,9981,10098,10627,10494,10283,0,-346,0
0.1,0,0,10699,10151,9981,10098,10628,10493,10282,0,-348,0
0.14,0,0,10699,10151,9980,10097,10627,10494,10281,0,-347,0
0.19,0,0,10700,10152,9979,10097,10627,10494,10282,0,-347,0
0.24,0,0,10699,10151,9980,10097,10627,10493,10282,0,-346,0
0.25,0,0,10699,10151,9980,10098,10627,10493,10282,0,-347,0
0.29,0,0,10699,10151,9980,10097,10627,10493,10282,0,-347,0
0.34,0,0,10699,10151,9981,10097,10627,10493,10282,0,-346,0
0.43,0,-0.04,10700,10150,9980,10097,10627,10493,10281,1,-347,0
0.49,0,0,10700,10152,9980,10097,10627,10492,10282,0,-347,0
0.58,0,0,10699,10151,9981,10098,10627,10492,10281,1,-346,0
0.9,0,0,10699,10151,9981,10097,10628,10493,10281,0,-348,0
1.15,0,0,10699,10151,9980,10097,10627,10493,10281,1,-346,0
1.35,0,0,10700,10151,9979,10097,10627,10493,10282,1,-348,0
1.42,0,0,10699,10151,9980,10097,10628,10493,10281,1,-348,0
1.56,0,0.04,10699,10151,9981,10097,10627,10493,10280,1,-348,0
1.57,0,0,10699,10151,9980,10097,10627,10492,10281,1,-348,0
1.53,0,0,10699,10151,9981,10097,10628,10493,10280,1,-347,0
1.75,0,0,10699,10151,9980,10098,10627,10493,10281,1,-348,0
1.99,0,0.04,10699,10151,9978,10096,10628,10493,10280,2,-347,2
1.92,0,0,10699,10150,9980,10097,10627,10492,10280,2,-348,1
1.92,0,0,10699,10150,9980,10097,10627,10493,10280,2,-347,1
1.87,0,0.04,10699,10152,9980,10097,10627,10493,10281,2,-348,1
1.82,0,0.05,10699,10151,9980,10096,10627,10492,10279,2,-347,1
1.86,0,0.05,10699,10151,9980,10097,10628,10492,10279,2,-348,1
1.82,0,0.05,10699,10151,9980,10097,10627,10492,10280,3,-348,2
1.91,0,0.04,10699,10151,9979,10096,10627,10492,10280,3,-349,2
1.87,0,0.05,10698,10151,9981,10096,10628,10492,10280,2,-348,2
1.91,0,0,10699,10151,9980,10096,10627,10493,10280,3,-348,2
1.92,0,0,10699,10151,9978,10096,10627,10492,10280,3,-349,2
1.96,0,0.04,10699,10151,9979,10096,10627,10493,10280,3,-349,2
2.01,0,0.05,10699,10151,9980,10096,10627,10492,10280,3,-348,2
2.02,0,0.05,10699,10151,9980,10096,10627,10493,10279,3,-349,2
2.15,0,0.05,10699,10151,9980,10097,10627,10493,10280,3,-348,2
2.25,0,0.09,10699,10151,9980,10096,10627,10492,10280,3,-348,2
2.26,0,0.05,10699,10151,9979,10096,10627,10492,10280,3,-348,2
2.31,0,0.05,10699,10151,9980,10095,10626,10493,10279,3,-349,2
2.44,0,0.05,10699,10151,9979,10096,10626,10492,10279,3,-349,2
2.59,0,0.05,10700,10151,9978,10097,10627,10492,10280,3,-349,2
2.65,0,0.05,10700,10152,9979,10097,10628,10492,10279,3,-348,2
2.7,0,0.05,10699,10151,9980,10097,10627,10492,10280,4,-348,2
2.75,0,0.05,10699,10151,9979,10097,10627,10492,10279,4,-349,2
2.8,0,0.05,10699,10151,9979,10095,10627,10492,10279,4,-349,2
2.8,0,0.05,10699,10151,9978,10096,10626,10491,10279,4,-348,3
2.85,0,0.05,10699,10151,9979,10096,10627,10492,10279,4,-348,2
2.9,0,0,10699,10151,9979,10096,10626,10492,10279,4,-348,3
3,0,0.05,10699,10151,9979,10096,10627,10492,10278,4,-349,3
3.04,0,0.05,10699,10152,9979,10097,10627,10492,10278,4,-349,3
3.05,0,0.05,10699,10151,9979,10096,10627,10492,10279,5,-349,3
3.09,0,0.05,10700,10151,9979,10097,10627,10492,10278,5,-349,4
3.14,0,0.09,10699,10151,9979,10096,10627,10491,10280,5,-349,4
3.19,0,0.1,10699,10151,9979,10096,10627,10492,10279,5,-348,4
3.19,0,0.1,10699,10151,9979,10096,10627,10492,10278,5,-348,4
3.24,0,0.1,10699,10151,9979,10095,10627,10492,10278,5,-348,4
3.24,0,0.05,10698,10151,9978,10096,10627,10493,10278,5,-349,4
3.29,0,0.05,10697,10152,9977,10095,10627,10491,10278,5,-349,4
3.34,0,0.1,10699,10152,9979,10096,10627,10492,10279,5,-349,5
3.39,0,0.05,10699,10151,9978,10095,10626,10491,10278,5,-349,4
3.48,0,0.09,10699,10151,9977,10095,10627,10492,10278,5,-350,4
3.58,0,0.1,10699,10151,9978,10095,10627,10491,10278,5,-349,4
3.59,0,0.1,10699,10152,9979,10096,10627,10491,10278,5,-349,4
3.63,0,0.1,10699,10152,9979,10096,10627,10492,10278,5,-349,4
3.68,0,0.05,10699,10152,9978,10096,10627,10491,10278,6,-349,4
3.78,0,0.05,10699,10151,9978,10096,10627,10492,10277,6,-350,4
3.83,0,0.09,10699,10152,9979,10095,10627,10492,10277,6,-349,5
3.88,0,0.1,10699,10152,9978,10095,10627,10491,10277,6,-349,5
3.98,0,0.1,10699,10151,9978,10096,10626,10491,10277,6,-349,5
3.98,0,0.1,10699,10151,9976,10096,10627,10492,10278,6,-350,5
4.03,0,0.1,10698,10152,9977,10096,10626,10492,10278,6,-350,5
4.03,0,0.1,10699,10151,9979,10095,10627,10491,10278,6,-349,5
4.12,0,0.1,10699,10152,9978,10095,10627,10491,10277,6,-350,5
4.13,0,0.1,10699,10152,9978,10095,10627,10491,10276,7,-350,5
4.13,0,0.1,10699,10151,9977,10095,10627,10491,10277,7,-349,5
4.17,0,0.1,10699,10151,9978,10095,10627,10491,10277,7,-350,5
4.22,0,0.14,10699,10151,9979,10095,10626,10491,10276,7,-349,7
4.27,0,0.15,10698,10152,9978,10096,10626,10492,10277,7,-349,6
4.28,0,0.1,10699,10151,9978,10095,10626,10491,10277,7,-350,6
4.32,0,0.1,10699,10152,9978,10095,10626,10492,10277,7,-349,6
4.41,0,0.1,10699,10151,9977,10095,10627,10491,10276,7,-350,6
4.47,0,0.1,10699,10151,9978,10095,10626,10492,10277,7,-349,6
4.56,0,0.1,10698,10152,9977,10094,10626,10491,10277,8,-350,6
4.66,0,0.1,10699,10151,9978,10095,10626,10492,10277,7,-350,6
4.71,0,0.14,10698,10151,9977,10096,10628,10490,10277,8,-350,6
4.81,0,0.1,10698,10151,9978,10094,10627,10491,10277,8,-350,6
4.86,0,0.1,10699,10152,9978,10095,10627,10491,10276,8,-350,6
4.91,0,0.1,10699,10152,9976,10095,10627,10491,10275,8,-349,6
4.97,0,0.14,10699,10152,9977,10094,10626,10491,10276,8,-351,6
5.01,0,0.15,10698,10152,9977,10095,10627,10491,10276,8,-351,6
5.01,0,0.15,10699,10151,9979,10095,10626,10492,10276,8,-351,6
5.01,0,0.15,10698,10152,9978,10095,10627,10492,10276,8,-351,6
5.01,0,0.1,10699,10152,9977,10094,10626,10490,10276,9,-351,7
5.06,0,0.1,10699,10151,9976,10095,10627,10491,10275,9,-350,7
5.11,0,0.14,10699,10152,9978,10094,10627,10491,10275,9,-351,7
5.11,0,0.15,10699,10152,9978,10094,10627,10491,10276,9,-350,7
5.11,0,0.15,10698,10151,9977,10096,10627,10491,10275,9,-351,7
5.16,0,0.1,10698,10151,9977,10095,10627,10491,10275,9,-351,7
5.26,0,0.1,10699,10151,9977,10094,10627,10491,10275,9,-350,7
5.3,0,0.14,10698,10151,9977,10094,10627,10490,10274,9,-351,7
5.44,0,0.15,10698,10152,9977,10095,10627,10491,10275,9,-350,7
5.59,0,0.15,10699,10152,9978,10094,10626,10491,10275,9,-351,7
5.65,0,0.15,10698,10152,9976,10094,10626,10491,10275,9,-351,7
5.74,0,0.15,10698,10151,9976,10094,10625,10491,10275,10,-350,8
5.8,0,0.15,10698,10152,9977,10095,10627,10490,10274,10,-350,8
5.84,0,0.15,10698,10152,9976,10095,10626,10491,10275,10,-351,8
5.85,0,0.15,10698,10152,9976,10094,10626,10491,10275,10,-351,8
5.89,0,0.15,10698,10152,9976,10094,10626,10490,10275,10,-350,8
5.95,0,0.15,10698,10152,9976,10094,10626,10490,10274,10,-351,8
5.99,0,0.1,10698,10153,9976,10095,10627,10491,10274,10,-351,8
6.09,0,0.14,10698,10152,9975,10094,10627,10491,10274,10,-351,8
6.18,0,0.19,10698,10152,9975,10093,10626,10490,10273,10,-351,8
6.28,0,0.15,10698,10152,9975,10094,10627,10491,10274,11,-352,8
6.38,0,0.15,10698,10152,9976,10094,10626,10490,10274,11,-351,9
6.48,0,0.1,10698,10151,9976,10094,10626,10490,10273,11,-352,9
6.49,0,0.14,10698,10151,9976,10094,10625,10490,10274,11,-352,9
6.4,0,0.15,10698,10153,9975,10094,10626,10490,10274,11,-351,9
6.39,0,0.15,10698,10152,9976,10095,10626,10490,10273,11,-352,9
6.39,0,0.15,10698,10152,9976,10095,10626,10489,10273,11,-351,9
6.44,0,0.19,10698,10151,9976,10093,10626,10491,10273,11,-351,9
6.53,0,0.15,10698,10152,9976,10093,10626,10491,10273,12,-352,9
6.58,0,0.19,10698,10152,9976,10094,10626,10491,10273,12,-351,10
