pressure1,pressure2,pressure3,stress1,stress2,stress3,stress4,stress5,stress6,stress7,x,y,z
-0.04,0,0.04,10700,10151,9980,10097,10627,10493,10282,0,-346,0
-0.04,0,0,10699,10152,9980,10096,10627,10492,10282,0,-346,0
0,0,0,10698,10151,9978,10097,10628,10492,10283,1,-347,0
0.05,0,0,10699,10150,9980,10097,10627,10493,10282,0,-346,0
0.01,0,0,10698,10151,9981,10098,10627,10493,10281,0,-347,0
0.14,0,0,10699,10151,9980,10097,10627,10494,10281,0,-347,0
0.34,0,0,10699,10151,9981,10097,10627,10493,10282,0,-346,0
1.15,0,0,10699,10151,9980,10097,10627,10493,10281,1,-346,0
1.53,0,0,10699,10151,9981,10097,10628,10493,10280,1,-347,0
1.87,0,0.04,10699,10152,9980,10097,10627,10493,10281,2,-348,1
1.87,0,0.05,10698,10151,9981,10096,10628,10492,10280,2,-348,2
2.02,0,0.05,10699,10151,9980,10096,10627,10493,10279,3,-349,2
2.44,0,0.05,10699,10151,9979,10096,10626,10492,10279,3,-349,2
2.8,0,0.05,10699,10151,9979,10095,10627,10492,10279,4,-349,2
3.04,0,0.05,10699,10152,9979,10097,10627,10492,10278,4,-349,3
3.19,0,0.1,10699,10151,9979,10096,10627,10492,10278,5,-348,4
3.39,0,0.05,10699,10151,9978,10095,10626,10491,10278,5,-349,4
3.68,0,0.05,10699,10152,9978,10096,10627,10491,10278,6,-349,4
3.98,0,0.1,10699,10151,9976,10096,10627,10492,10278,6,-350,5
4.13,0,0.1,10699,10151,9977,10095,10627,10491,10277,7,-349,5
4.32,0,0.1,10699,10152,9978,10095,10626,10492,10277,7,-349,6
4.71,0,0.14,10698,10151,9977,10096,10628,10490,10277,8,-350,6
5.01,0,0.15,10698,10152,9977,10095,10627,10491,10276,8,-351,6
5.11,0,0.14,10699,10152,9978,10094,10627,10491,10275,9,-351,7
5.3,0,0.14,10698,10151,9977,10094,10627,10490,10274,9,-351,7
5.8,0,0.15,10698,10152,9977,10095,10627,10490,10274,10,-350,8
5.99,0,0.1,10698,10153,9976,10095,10627,10491,10274,10,-351,8
6.48,0,0.1,10698,10151,9976,10094,10626,10490,10273,11,-352,9
6.44,0,0.19,10698,10151,9976,10093,10626,10491,10273,11,-351,9
6.68,0,0.15,10698,10152,9976,10093,10626,10490,10273,12,-351,10
6.83,0,0.15,10698,10151,9974,10093,10626,10490,10272,12,-352,10
7.31,0,0.19,10698,10152,9975,10093,10626,10490,10272,13,-353,10
7.47,0,0.15,10698,10152,9974,10093,10626,10490,10271,14,-352,11
7.66,0,0.2,10698,10152,9974,10093,10626,10489,10271,14,-353,11
7.86,0,0.2,10698,10152,9974,10093,10626,10490,10270,14,-353,12
8.3,0,0.2,10697,10151,9974,10092,10626,10489,10269,15,-353,12
8.5,0,0.2,10698,10151,9973,10093,10626,10490,10269,16,-353,13
8.65,0,0.2,10698,10152,9974,10093,10626,10489,10268,16,-354,13
8.88,0,0.25,10698,10152,9973,10092,10626,10490,10268,17,-353,15
9.29,0,0.24,10698,10152,9972,10092,10626,10490,10268,16,-354,14
9.48,0,0.25,10698,10152,9973,10092,10625,10489,10266,18,-354,15
9.63,0,0.25,10697,10152,9973,10091,10625,10490,10265,18,-354,15
9.97,0,0.25,10697,10152,9972,10091,10625,10488,10265,18,-354,16
10.27,0,0.25,10697,10151,9972,10092,10625,10489,10264,19,-354,17
10.55,0,0.25,10698,10152,9972,10091,10625,10488,10263,19,-354,17
11,0,0.24,10698,10152,9972,10090,10625,10489,10260,20,-355,18
