pressure1,pressure2,pressure3,stress1,stress2,stress3,stress4,stress5,stress6,stress7,x,y,z
0,0,0,9704,10324,10040,10255,10670,10589,10384,0,-367,0
0,0,0,9705,10323,10039,10254,10670,10590,10385,0,-367,0
-0.04,0,0,9703,10324,10039,10255,10670,10589,10384,0,-367,0
0,0,0,9703,10323,10039,10255,10670,10587,10384,0,-367,0
-0.04,0,0,9704,10324,10040,10254,10670,10589,10385,0,-367,0
0,0,,9705,10324,10040,10255,10670,10590,10385,0,-367,0
-0.04,0,0,9704,10324,10040,10255,10670,10588,10385,0,-367,0
-0.05,0,0,9704,10324,10039,10255,10670,10588,10384,0,-367,0
0,0,0,9703,10324,10040,10255,10670,10589,10384,0,-367,0
0,0,0,9705,10324,10039,10254,10670,10588,10384,0,-367,0
0.04,0,0.04,9703,10324,10039,10254,10671,10589,10385,0,-367,0
0,0,0.05,9704,10323,10039,10255,10671,10589,10385,0,-367,0
0.04,0,0.05,9706,10324,10040,10255,10670,10589,10385,0,-367,0
0,0,0,9704,10323,10040,10255,10670,10590,10384,0,-367,0
0,0,0,9704,10324,10039,10255,10670,10589,10385,0,-367,0
0.04,0,0,9705,10323,10040,10254,10670,10589,10385,0,-367,0
0,0,0,9705,10323,10040,10254,10670,10589,10385,0,-367,1
0.04,0,0,9705,10323,10040,10255,10670,10589,10385,0,-367,0
0.05,0,0,9704,10324,10040,10255,10669,10589,10385,0,-367,0
0,0,0.04,9704,10324,10039,10255,10670,10589,10385,0,-367,0
0.04,0,0,9703,10324,10040,10255,10670,10589,10384,0,-367,1
0.05,0,0,9703,10324,10040,10255,10670,10589,10384,0,-367,0
0.04,0,0,9705,10324,10040,10255,10670,10588,10385,0,-367,1
0.09,0,0,9705,10324,10040,10255,10670,10588,10385,0,-367,0
0.05,0,0,9705,10324,10040,10255,10670,10589,10385,0,-367,0
0.05,0,0,9706,10324,10040,10255,10670,10589,10384,0,-367,0
0,0,0,9704,10324,10040,10255,10670,10589,10383,0,-367,0
0.04,0,0.04,9704,10324,10040,10255,10670,10589,10383,0,-367,0
0.05,0,0,9705,10324,10040,10255,10670,10589,10385,0,-367,0
0.05,0,0,9705,10324,10039,10254,10670,10588,10383,0,-367,0
0.05,0,0,9705,10324,10039,10255,10670,10588,10384,0,-367,0
0.05,0,0,9705,10324,10039,10255,10670,10589,10385,0,-367,1
0.1,0,0.04,9704,10324,10038,10255,10670,10589,10384,0,-367,0
0.05,0,0,9705,10323,10039,10255,10670,10588,10385,0,-367,0
0.05,0,0.04,9705,10324,10040,10255,10670,10589,10385,0,-367,0
0.14,0,0,9705,10324,10040,10255,10670,10589,10385,0,-367,0
0.15,0,0.04,9705,10324,10040,10255,10670,10589,10385,0,-367,0
0.19,0,0,9703,10324,10039,10254,10670,10588,10385,0,-367,0
0.2,0,0.04,9705,10324,10039,10254,10669,10589,10384,0,-367,0
0.24,0,0.05,9705,10324,10039,10254,10670,10589,10385,0,-367,0
0.29,0,0.05,9704,10324,10040,10255,10670,10590,10385,0,-367,0
0.29,0,0.05,9704,10323,10039,10254,10670,10589,10384,0,-367,0
0.39,0,0,9704,10323,10039,10254,10670,10589,10385,0,-367,0
0.39,0,0,9704,10324,10040,10254,10670,10589,10385,0,-367,0
0.48,0,-0.04,9705,10323,10040,10254,10670,10589,10384,0,-367,0
0.53,0,0,9705,10323,10039,10255,10670,10589,10384,0,-367,0
0.63,0,0,9705,10324,10039,10254,10670,10589,10384,1,-367,0
0.82,0,0.04,9705,10324,10040,10255,10671,10589,10384,1,-367,0
1.05,0,0,9705,10324,10039,10254,10670,10589,10384,1,-367,0
1.3,0,0.04,9705,10323,10039,10253,10670,10589,10385,0,-367,0
1.46,0,0.05,9703,10324,10039,10254,10670,10589,10385,1,-367,0
1.66,0,0,9703,10324,10039,10253,10670,10588,10384,1,-367,0
1.72,0,0,9705,10324,10039,10253,10670,10589,10384,1,-367,1
1.85,0,0,9705,10323,10039,10253,10670,10588,10383,1,-367,0
1.96,0,-0.04,9705,10324,10039,10253,10670,10588,10384,1,-367,1
2.05,0,0,9704,10324,10039,10253,10670,10589,10384,2,-367,1
2.15,0,0.04,9704,10323,10039,10253,10670,10588,10384,2,-367,1
2.21,0,0.05,9705,10323,10039,10252,10670,10589,10383,2,-367,1
2.39,0,0,9703,10324,10038,10252,10670,10588,10383,2,-367,1
2.41,0,0.04,9704,10324,10039,10252,10670,10589,10383,2,-367,1
2.5,0,0.05,9704,10324,10039,10252,10670,10589,10383,2,-367,2
2.51,0,0.05,9704,10325,10039,10253,10670,10589,10383,2,-367,1
