pressure1,pressure2,pressure3,stress1,stress2,stress3,stress4,stress5,stress6,stress7,x,y,z
0.27,0,0,9668,10151,9993,10096,10627,10488,10277,0,-347,0
0,0,0,9667,10150,9992,10095,10628,10489,10276,0,-347,0
0,0,-0.05,9667,10151,9992,10095,10627,10488,10276,0,-347,0
1.03,0,0.47,9667,10150,9992,10096,10627,10488,10277,0,-347,0
3.69,0,3.01,9668,10151,9991,10095,10626,10487,10275,0,-347,0
6.14,0,2.71,9668,10149,9990,10094,10625,10487,10271,2,-349,3
8.36,0,2.79,9667,10149,9990,10092,10624,10486,10268,3,-350,7
10.86,0,3.57,9667,10149,9986,10091,10624,10486,10264,7,-352,11
12.53,0,4.02,9666,10149,9985,10090,10624,10485,10260,10,-353,15
11.31,0,4.62,9666,10149,9985,10089,10622,10484,10255,14,-354,19
11.21,0,4.67,9665,10149,9984,10088,10622,10484,10246,13,-355,21
13.9,0,4.57,9666,10149,9984,10088,10622,10485,10240,14,-355,22
15.58,0,4.57,9665,10148,9982,10087,10621,10483,10235,16,-356,24
12.4,0,7.28,9664,10148,9982,10086,10621,10483,10231,18,-357,27
10.66,0,9.02,9665,10147,9982,10086,10620,10484,10230,16,-356,28
11.07,0,8.31,9665,10145,9984,10085,10618,10484,10229,9,-356,28
11.09,0,7.42,9664,10145,9983,10085,10618,10483,10229,7,-356,28
14.15,0,10.36,9665,10145,9983,10084,10617,10483,10225,7,-355,29
16.17,0,13.13,9664,10144,9981,10084,10615,10482,10219,6,-356,32
13.91,0,14.75,9664,10141,9982,10082,10614,10482,10214,5,-357,38
12.73,0,14.76,9664,10141,9983,10081,10613,10481,10212,0,-357,41
12.93,0,12.8,9663,10140,9983,10081,10613,10481,10210,-5,-356,41
12.8,0,10.94,9663,10141,9982,10081,10613,10480,10213,-6,-356,41
10.03,0,13.05,9664,10140,9983,10082,10613,10482,10213,-4,-356,40
8.88,0,15.33,9663,10139,9984,10083,10612,10482,10214,-6,-355,38
11.72,0,13.9,9664,10140,9985,10082,10612,10483,10214,-12,-354,37
14.36,0,11.93,9663,10139,9984,10081,10612,10481,10212,-13,-354,39
16.99,0,11.88,9663,10140,9982,10081,10613,10481,10209,-7,-355,40
17.74,0,10.75,9663,10142,9980,10080,10612,10480,10208,-3,-357,42
17.17,0,12.7,9661,10141,9980,10080,10613,10479,10206,2,-358,44
17.15,0,15.46,9662,10140,9981,10080,10612,10480,10204,3,-358,45
17.77,0,14.75,9662,10140,9980,10080,10611,10479,10202,0,-358,47
17.95,0,14.41,9663,10140,9980,10079,10611,10479,10200,-1,-358,49
15.12,0,11.93,9661,10139,9980,10078,10610,10479,10201,-1,-358,50
12.2,0,10.09,9661,10140,9980,10080,10612,10479,10205,-1,-358,48
9.93,0,7.37,9661,10141,9982,10081,10613,10480,10210,-1,-357,43
8.45,0,5.92,9662,10143,9982,10082,10614,10480,10216,0,-356,38
9.09,0,7.05,9662,10143,9984,10083,10615,10482,10220,1,-355,33
9.65,0,7.03,9663,10143,9984,10084,10615,10482,10221,2,-355,30
11.06,0,9.52,9663,10143,9984,10083,10616,10481,10221,1,-355,30
12.36,0,12.29,9663,10142,9982,10083,10615,10481,10216,1,-355,32
11.86,0,13.92,9662,10141,9984,10082,10613,10480,10212,-1,-355,35
11.7,0,13.04,9663,10140,9983,10081,10612,10481,10210,-5,-356,38
13.03,0,10.92,9663,10140,9983,10081,10612,10480,10210,-7,-355,39
13.59,0,9.17,9663,10141,9982,10081,10613,10480,10210,-6,-355,39
10.89,0,11,9663,10141,9982,10080,10613,10481,10211,-1,-356,39
9.09,0,13.8,9663,10140,9984,10083,10613,10481,10213,-2,-356,37
10.88,0,15.46,9663,10140,9984,10081,10612,10481,10211,-7,-354,37
12.75,0,16.02,9663,10139,9984,10080,10611,10481,10207,-12,-354,38
12.25,0,13.24,9663,10138,9984,10081,10610,10482,10205,-13,-355,42
12.01,0,10.85,9664,10138,9983,10080,10611,10482,10207,-12,-355,42
9.55,0,10.06,9663,10140,9982,10081,10611,10481,10210,-9,-355,40
7.76,0,10.11,9665,10141,9984,10082,10613,10481,10214,-7,-355,37
9.14,0,7.75,9663,10141,9984,10082,10614,10482,10217,-9,-354,34
11.28,0,6.38,9663,10141,9984,10083,10614,10481,10219,-7,-354,32
11.26,0,4.28,9663,10142,9983,10084,10616,10481,10219,-2,-355,32
11.54,0,3.87,9665,10144,9981,10084,10617,10481,10222,4,-355,31
11.95,0,2.33,9664,10145,9981,10085,10617,10481,10224,8,-355,29
12.36,0,1.51,9664,10147,9981,10085,10619,10482,10225,12,-356,29
10.08,0,2.1,9665,10146,9981,10086,10619,10481,10229,17,-356,28
7.91,0,3.88,9665,10148,9983,10087,10620,10481,10232,16,-355,26
10.88,0,5.04,9665,10147,9984,10086,10619,10482,10230,12,-355,24
13.38,0,5.43,9664,10146,9982,10085,10618,10481,10226,11,-355,25
13.6,0,6.61,9664,10145,9982,10085,10618,10481,10224,12,-356,29
13.33,0,7.65,9663,10145,9982,10084,10617,10480,10220,13,-357,31
13.37,0,8.44,9664,10145,9981,10082,10616,10480,10218,12,-356,33
14.04,0,8.7,9663,10144,9981,10084,10616,10480,10216,9,-357,34
17.51,0,11.79,9663,10143,9981,10082,10615,10480,10213,10,-357,35
18.76,0,14.54,9662,10141,9979,10080,10614,10479,10206,8,-357,40
18.53,0,17.2,9660,10140,9978,10079,10611,10478,10200,7,-359,45
18.6,0,17.35,9662,10139,9978,10078,10610,10478,10197,2,-359,49
15.86,0,15.68,9662,10138,9979,10078,10610,10476,10195,-1,-358,52
13.17,0,16.03,9662,10137,9979,10078,10610,10478,10197,-2,-358,52
14.9,0,14.02,9662,10138,9980,10077,10610,10479,10198,-8,-357,49
