pressure1,pressure2,pressure3,stress1,stress2,stress3,stress4,stress5,stress6,stress7,x,y,z
500,-0.00,,10677,10178,9957,10107,10585,10244,10160,0.0,-363.0,0.0
500,-0.00,,10676,10177,9956,10107,10585,10243,10160,0.0,-364.0,0.0
0.00,0.05,-0.04,10676,10177,9956,10107,10585,10243,10160,0.0,-364.0,0.0
0.00,0.00,-0.00,10676,10177,9956,10107,10586,10244,10160,0.0,-364.0,0.0
0.00,0.04,-0.00,10677,10177,9956,10106,10585,10244,10159,0.0,-363.0,0.0
0.00,0.05,-0.00,10677,10178,9957,10107,10586,10243,10161,0.0,-364.0,0.0
0.04,0.00,-0.09,10677,10178,9955,10106,10586,10244,10161,0.0,-364.0,-1.0
0.05,0.04,-0.01,10677,10178,9956,10107,10585,10244,10161,0.0,-364.0,0.0
0.09,0.00,-0.00,10677,10178,9956,10107,10585,10244,10161,0.0,-364.0,0.0
0.04,0.00,-0.09,10677,10178,9955,10106,10586,10243,10161,0.0,-363.0,0.0
0.00,0.00,-0.05,10676,10178,9956,10106,10584,10244,10160,0.0,-364.0,0.0
0.00,0.00,-0.05,10677,10178,9955,10106,10586,10243,10161,0.0,-363.0,-1.0
0.00,0.00,-0.05,10677,10178,9955,10107,10585,10243,10162,0.0,-364.0,-1.0
0.00,-0.04,-0.05,10676,10178,9957,10107,10585,10244,10162,0.0,-364.0,-1.0
0.00,-0.00,-0.05,10677,10178,9957,10106,10586,10243,10160,0.0,-364.0,0.0
0.00,-0.00,-0.09,10677,10177,9956,10107,10587,10242,10162,0.0,-364.0,0.0
0.00,-0.04,-0.05,10677,10178,9956,10107,10585,10243,10160,0.0,-364.0,0.0
0.04,-0.05,-0.05,10676,10178,9956,10106,10586,10244,10160,0.0,-364.0,-1.0
-0.04,-0.00,-0.05,10676,10178,9955,10106,10585,10244,10161,0.0,-363.0,0.0
0.00,-0.05,-0.10,10677,10178,9956,10107,10585,10244,10161,0.0,-364.0,0.0
0.00,-0.05,-0.10,10677,10178,9956,10107,10585,10244,10161,0.0,-364.0,-1.0
0.04,-0.04,-0.05,10676,10178,9956,10107,10586,10243,10162,0.0,-364.0,0.0
0.00,-0.00,-0.01,10677,10177,9956,10107,10586,10244,10161,0.0,-364.0,0.0
-0.04,-0.04,0.09,10677,10178,9956,10107,10586,10243,10161,0.0,-364.0,0.0
-0.00,-0.00,0.23,10676,10178,9957,10106,10586,10244,10160,0.0,-364.0,0.0
-0.00,-0.00,0.51,10677,10178,9956,10106,10586,10244,10160,0.0,-364.0,-1.0
-0.00,-0.00,0.76,10677,10177,9955,10106,10586,10243,10160,0.0,-364.0,0.0
-0.04,-0.00,1.05,10677,10178,9957,10106,10586,10244,10160,0.0,-364.0,0.0
0.04,-0.04,1.34,10677,10178,9956,10106,10586,10244,10161,0.0,-364.0,0.0
0.00,-0.09,1.64,10677,10178,9957,10106,10586,10243,10160,0.0,-363.0,0.0
0.00,-0.05,1.89,10676,10178,9956,10106,10586,10244,10160,0.0,-364.0,0.0
0.00,-0.01,2.09,10677,10178,9956,10107,10586,10244,10161,-1.0,-364.0,-1.0
0.00,-0.04,2.38,10677,10178,9957,10107,10585,10244,10160,-1.0,-364.0,0.0
0.00,-0.00,2.54,10676,10177,9955,10106,10585,10244,10160,-1.0,-364.0,0.0
0.00,-0.00,2.69,10677,10178,9956,10106,10586,10244,10159,-1.0,-364.0,0.0
0.00,-0.04,2.92,10677,10177,9956,10105,10585,10244,10159,-1.0,-364.0,0.0
