pressure1,pressure2,pressure3,stress1,stress2,stress3,stress4,stress5,stress6,stress7,x,y,z
-0.04,-0.00,0.04,10700,10151,9980,10097,10627,10493,10282,0.0,-346.0,0.0
-0.00,-0.00,0.00,10699,10151,9980,10097,10628,10494,10282,0.0,-346.0,0.0
-0.00,-0.00,0.00,10699,10151,9981,10097,10627,10493,10282,0.0,-346.0,0.0
-0.00,-0.00,0.00,10699,10151,9980,10098,10626,10493,10281,0.0,-346.0,0.0
,-0.00,0.00,10700,10151,9980,10097,10628,10493,10282,0.0,-347.0,0.0
-0.04,-0.04,0.00,10699,10152,9980,10096,10627,10492,10282,0.0,-346.0,0.0
-0.00,-0.00,0.00,10700,10152,9981,10097,10627,10493,10282,0.0,-347.0,0.0
-0.04,-0.00,0.04,10700,10151,9980,10097,10627,10493,10281,1.0,-347.0,0.0
-0.00,-0.00,0.00,10700,10151,9980,10097,10627,10493,10281,0.0,-347.0,0.0
0.05,0.00,-0.00,10700,10151,9981,10098,10627,10492,10282,0.0,-346.0,0.0
0.00,0.00,-0.00,10698,10151,9978,10097,10628,10492,10283,1.0,-347.0,0.0
0.04,0.04,-0.00,10699,10151,9981,10098,10627,10493,10282,0.0,-346.0,0.0
0.00,0.05,-0.00,10697,10151,9980,10097,10627,10493,10282,0.0,-346.0,0.0
0.04,0.00,-0.00,10700,10150,9982,10097,10628,10493,10281,0.0,-347.0,0.0
0.05,0.04,-0.00,10699,10151,9981,10097,10627,10493,10283,0.0,-347.0,0.0
0.05,0.00,-0.00,10699,10150,9980,10097,10627,10493,10282,0.0,-346.0,0.0
0.00,0.00,-0.04,10699,10151,9980,10097,10627,10492,10281,0.0,-347.0,-1.0
0.04,0.00,-0.00,10699,10151,9981,10098,10627,10493,10282,0.0,-347.0,0.0
0.00,0.09,-0.04,10699,10152,9982,10097,10628,10493,10281,0.0,-346.0,0.0
0.09,0.05,-0.04,10699,10151,9980,10097,10627,10493,10282,0.0,-347.0,0.0
0.01,0.05,-0.00,10698,10151,9981,10098,10627,10493,10281,0.0,-347.0,0.0
0.05,0.00,-0.04,10699,10151,9979,10097,10628,10493,10282,0.0,-347.0,0.0
0.05,0.00,-0.05,10699,10150,9981,10098,10628,10493,10282,0.0,-346.0,0.0
0.09,0.00,-0.00,10699,10150,9981,10098,10627,10494,10283,0.0,-346.0,0.0
0.10,0.04,-0.00,10699,10151,9981,10098,10628,10493,10282,0.0,-348.0,0.0
0.14,0.00,-0.00,10699,10151,9980,10097,10627,10494,10281,0.0,-347.0,0.0
0.19,0.04,-0.00,10700,10152,9979,10097,10627,10494,10282,0.0,-347.0,0.0
0.24,0.05,-0.00,10699,10151,9980,10097,10627,10493,10282,0.0,-346.0,0.0
0.25,0.05,-0.00,10699,10151,9980,10098,10627,10493,10282,0.0,-347.0,0.0
0.29,0.05,-0.00,10699,10151,9980,10097,10627,10493,10282,0.0,-347.0,0.0
0.34,0.05,-0.00,10699,10151,9981,10097,10627,10493,10282,0.0,-346.0,0.0
0.43,0.09,-0.04,10700,10150,9980,10097,10627,10493,10281,1.0,-347.0,0.0
0.49,0.05,-0.00,10700,10152,9980,10097,10627,10492,10282,0.0,-347.0,0.0
0.58,0.05,-0.00,10699,10151,9981,10098,10627,10492,10281,1.0,-346.0,0.0
0.90,0.05,-0.00,10699,10151,9981,10097,10628,10493,10281,0.0,-348.0,0.0
1.15,0.05,-0.00,10699,10151,9980,10097,10627,10493,10281,1.0,-346.0,0.0
1.35,0.05,-0.00,10700,10151,9979,10097,10627,10493,10282,1.0,-348.0,0.0
1.42,0.05,-0.00,10699,10151,9980,10097,10628,10493,10281,1.0,-348.0,0.0
1.56,0.00,0.04,10699,10151,9981,10097,10627,10493,10280,1.0,-348.0,0.0
1.57,0.05,0.00,10699,10151,9980,10097,10627,10492,10281,1.0,-348.0,0.0
1.53,0.05,0.00,10699,10151,9981,10097,10628,10493,10280,1.0,-347.0,0.0
1.75,0.09,0.00,10699,10151,9980,10098,10627,10493,10281,1.0,-348.0,0.0
1.99,0.10,0.04,10699,10151,9978,10096,10628,10493,10280,2.0,-347.0,2.0
1.92,0.10,0.00,10699,10150,9980,10097,10627,10492,10280,2.0,-348.0,1.0
1.92,0.05,0.00,10699,10150,9980,10097,10627,10493,10280,2.0,-347.0,1.0
1.87,0.09,0.04,10699,10152,9980,10097,10627,10493,10281,2.0,-348.0,1.0
1.82,0.10,0.05,10699,10151,9980,10096,10627,10492,10279,2.0,-347.0,1.0
1.86,0.10,0.05,10699,10151,9980,10097,10628,10492,10279,2.0,-348.0,1.0
1.82,0.05,0.05,10699,10151,9980,10097,10627,10492,10280,3.0,-348.0,2.0
1.91,0.05,0.04,10699,10151,9979,10096,10627,10492,10280,3.0,-349.0,2.0
1.87,0.09,0.05,10698,10151,9981,10096,10628,10492,10280,2.0,-348.0,2.0
1.91,0.14,0.00,10699,10151,9980,10096,10627,10493,10280,3.0,-348.0,2.0
1.92,0.10,0.00,10699,10151,9978,10096,10627,10492,10280,3.0,-349.0,2.0
1.96,0.05,0.04,10699,10151,9979,10096,10627,10493,10280,3.0,-349.0,2.0
2.01,0.09,0.05,10699,10151,9980,10096,10627,10492,10280,3.0,-348.0,2.0
2.02,0.10,0.05,10699,10151,9980,10096,10627,10493,10279,3.0,-349.0,2.0
2.15,0.10,0.05,10699,10151,9980,10097,10627,10493,10280,3.0,-348.0,2.0
2.25,0.10,0.09,10699,10151,9980,10096,10627,10492,10280,3.0,-348.0,2.0
2.26,0.10,0.05,10699,10151,9979,10096,10627,10492,10280,3.0,-348.0,2.0
2.31,0.10,0.05,10699,10151,9980,10095,10626,10493,10279,3.0,-349.0,2.0
2.44,0.05,0.05,10699,10151,9979,10096,10626,10492,10279,3.0,-349.0,2.0
2.59,0.14,0.05,10700,10151,9978,10097,10627,10492,10280,3.0,-349.0,2.0
2.65,0.15,0.05,10700,10152,9979,10097,10628,10492,10279,3.0,-348.0,2.0
2.70,0.10,0.05,10699,10151,9980,10097,10627,10492,10280,4.0,-348.0,2.0
2.75,0.10,0.05,10699,10151,9979,10097,10627,10492,10279,4.0,-349.0,2.0
