pressure1,pressure2,pressure3,stress1,stress2,stress3,stress4,stress5,stress6,stress7,x,y,z
-0.05,0.00,0.00,10670,10139,9949,10076,10585,10450,10248,-1.0,-347.0,1.0
-0.05,0.00,-0.05,10670,10139,9949,10076,10585,10450,10248,-1.0,-348.0,1.0
-0.05,0.00,0.00,10670,10139,9949,10076,10585,10450,10248,-1.0,-347.0,1.0
-0.05,0.00,0.00,10670,10139,9949,10076,10585,10450,10248,-1.0,-347.0,1.0
-0.05,0.00,-0.05,10670,10139,9949,10076,10585,10450,10248,-1.0,-348.0,1.0
-0.05,0.05,-0.05,10670,10139,9949,10076,10585,10450,10248,-1.0,-347.0,1.0
-0.05,-0.05,0.00,10670,10139,9949,10076,10585,10450,10248,-1.0,-348.0,1.0
-0.10,0.00,0.00,10670,10139,9949,10076,10585,10450,10248,-1.0,-347.0,1.0
-0.05,0.00,-0.05,10670,10139,9949,10076,10585,10450,10248,-1.0,-348.0,1.0
-0.05,0.00,0.00,10670,10139,9949,10076,10585,10450,10248,-1.0,-347.0,1.0
-0.05,0.00,-0.05,10670,10139,9949,10076,10585,10450,10248,0.0,-348.0,0.0
0.00,0.00,-0.05,10670,10139,9949,10076,10585,10450,10248,-1.0,-347.0,0.0
-0.05,0.00,0.00,10670,10139,9949,10076,10585,10450,10248,-1.0,-348.0,0.0
-0.10,0.00,-0.05,10670,10139,9949,10076,10585,10450,10248,0.0,-347.0,0.0
-0.10,0.05,0.00,10670,10139,9949,10076,10585,10450,10248,0.0,-348.0,0.0
-0.10,0.00,0.00,10670,10139,9949,10076,10585,10450,10248,0.0,-348.0,0.0
-0.05,0.00,0.00,10670,10139,9949,10076,10585,10450,10248,0.0,-348.0,0.0
-0.05,-0.05,0.00,10670,10139,9949,10076,10585,10450,10248,0.0,-348.0,0.0
-0.05,0.00,-0.05,10670,10139,9949,10076,10585,10450,10248,0.0,-348.0,0.0
0.05,0.00,-0.10,10670,10139,9949,10076,10585,10450,10248,0.0,-348.0,0.0
0.20,0.00,-0.05,10670,10139,9949,10076,10585,10450,10248,0.0,-347.0,0.0
0.49,0.00,0.00,10670,10139,9949,10076,10585,10450,10248,0.0,-348.0,0.0
0.88,0.00,-0.05,10670,10139,9949,10076,10585,10450,10248,0.0,-347.0,0.0
1.23,0.05,0.00,10670,10139,9949,10076,10585,10450,10248,0.0,-348.0,0.0
1.52,0.05,-0.05,10670,10139,9949,10076,10585,10450,10248,0.0,-347.0,0.0
1.82,0.05,-0.05,10670,10139,9949,10076,10585,10450,10248,0.0,-348.0,0.0
1.92,0.05,0.00,10670,10139,9949,10076,10585,10450,10248,0.0,-347.0,0.0
1.92,0.05,0.00,10670,10139,9949,10076,10585,10450,10248,0.0,-348.0,0.0
1.82,0.00,-0.05,10670,10139,9949,10076,10585,10450,10248,1.0,-347.0,0.0
1.77,0.05,0.00,10670,10139,9949,10076,10585,10450,10248,1.0,-347.0,0.0
2.02,0.05,0.05,10670,10139,9949,10076,10585,10450,10248,4.0,-348.0,2.0
2.06,0.10,0.05,10670,10139,9949,10076,10585,10450,10248,4.0,-348.0,2.0
2.21,0.05,0.00,10670,10139,9949,10076,10585,10450,10248,4.0,-348.0,2.0
2.56,0.05,0.05,10670,10139,9949,10076,10585,10450,10248,4.0,-348.0,2.0
2.61,0.05,0.00,10670,10139,9949,10076,10585,10450,10248,4.0,-348.0,2.0
2.70,0.10,0.00,10670,10139,9949,10076,10585,10450,10248,4.0,-348.0,2.0
2.75,0.05,0.05,10670,10139,9949,10076,10585,10450,10248,4.0,-348.0,2.0
2.95,0.10,0.05,10670,10139,9949,10076,10585,10450,10248,5.0,-348.0,3.0
2.95,0.10,0.05,10670,10139,9949,10076,10585,10450,10248,6.0,-348.0,4.0
2.90,0.10,0.05,10670,10139,9949,10076,10585,10450,10248,6.0,-348.0,4.0
2.90,0.05,0.10,10670,10139,9949,10076,10585,10450,10248,6.0,-348.0,4.0
2.90,0.10,0.05,10670,10139,9949,10076,10585,10450,10248,6.0,-348.0,4.0
